,service_id,trip_id,direction,route_id
418,y1001,8690.y1001.60-120-d12-1.62.O,1,120
419,y1001,8691.y1001.60-120-d12-1.63.I,2,120
420,y1001,8692.y1001.60-120-d12-1.62.O,1,120
421,y1003,11801.y1003.60-122-d12-1.64.O,1,122
422,y1003,11802.y1003.60-122-d12-1.66.I,2,122
423,y1003,11803.y1003.60-122-d12-1.64.O,1,122
424,y1003,11804.y1003.60-122-d12-1.66.I,2,122
425,y1003,11805.y1003.60-122-d12-1.64.O,1,122
426,y1003,11806.y1003.60-122-d12-1.66.I,2,122
427,y1003,11807.y1003.60-122-d12-1.64.O,1,122
428,y1003,11808.y1003.60-122-d12-1.66.I,2,122
429,y1003,11809.y1003.60-122-d12-1.64.O,1,122
430,y1003,11810.y1003.60-122-d12-1.66.I,2,122
431,y1003,11811.y1003.60-122-d12-1.64.O,1,122
432,y1003,11812.y1003.60-122-d12-1.64.O,1,122
433,y1003,11813.y1003.60-122-d12-1.66.I,2,122
434,y1003,11814.y1003.60-122-d12-1.64.O,1,122
435,y1003,11815.y1003.60-122-d12-1.66.I,2,122
436,y1003,11816.y1003.60-122-d12-1.64.O,1,122
437,y1003,11817.y1003.60-122-d12-1.66.I,2,122
438,y1003,11818.y1003.60-122-d12-1.64.O,1,122
439,y1003,11819.y1003.60-122-d12-1.66.I,2,122
440,y1003,11820.y1003.60-122-d12-1.64.O,1,122
441,y1003,11821.y1003.60-122-d12-1.66.I,2,122
442,y1003,11822.y1003.60-122-d12-1.64.O,1,122
443,y1003,11823.y1003.60-122-d12-1.66.I,2,122
444,y1003,11824.y1003.60-122-d12-1.64.O,1,122
445,y1003,11825.y1003.60-122-d12-1.66.I,2,122
446,y1003,11826.y1003.60-122-d12-1.64.O,1,122
447,y1003,11827.y1003.60-122-d12-1.66.I,2,122
448,y1003,11828.y1003.60-122-d12-1.64.O,1,122
449,y1003,11829.y1003.60-122-d12-1.66.I,2,122
450,y1003,11830.y1003.60-122-d12-1.64.O,1,122
451,y1003,11831.y1003.60-122-d12-1.66.I,2,122
452,y1003,11832.y1003.60-122-d12-1.64.O,1,122
453,y1003,11833.y1003.60-122-d12-1.66.I,2,122
454,y1003,11834.y1003.60-122-d12-1.64.O,1,122
455,y1003,11835.y1003.60-122-d12-1.66.I,2,122
456,y1003,11836.y1003.60-122-d12-1.64.O,1,122
457,y1003,11837.y1003.60-122-d12-1.66.I,2,122
458,y1003,11838.y1003.60-122-d12-1.64.O,1,122
459,y1003,11839.y1003.60-122-d12-1.66.I,2,122
460,y1003,11840.y1003.60-122-d12-1.64.O,1,122
461,y1003,11841.y1003.60-122-d12-1.66.I,2,122
462,y1003,11842.y1003.60-122-d12-1.64.O,1,122
463,y1003,11843.y1003.60-122-d12-1.66.I,2,122
