,line_id,route_id,direction,stoppoint_id,progr_number
540,114,5,1,3196,23
542,114,5,1,3198,24
544,114,5,1,3199,25
546,114,5,1,3200,26
548,114,5,1,3201,27
550,114,5,1,3491,6
551,114,5,1,3532,4
552,114,5,1,3533,5
553,114,5,1,4349,8
554,114,5,1,5142,13
555,114,5,1,6007,7
556,114,5,1,6196,3
557,114,5,1,6200,1
558,114,5,1,6201,2
559,114,5,1,7669,14
560,114,6,2,448,17
561,114,6,2,2833,23
562,114,6,2,3082,2
563,114,6,2,3085,1
564,114,6,2,3165,3
565,114,6,2,3166,4
566,114,6,2,3167,5
567,114,6,2,3168,6
568,114,6,2,3169,7
569,114,6,2,3171,8
570,114,6,2,3173,9
571,114,6,2,3174,10
572,114,6,2,3175,11
573,114,6,2,3176,12
574,114,6,2,3177,13
575,114,6,2,3178,14
576,114,6,2,3179,15
577,114,6,2,3182,19
578,114,6,2,3183,20
579,114,6,2,3493,25
580,114,6,2,3494,26
581,114,6,2,4350,21
582,114,6,2,4457,18
583,114,6,2,4984,16
584,114,6,2,5143,22
585,114,6,2,6006,24
586,114,6,2,6197,27
587,114,6,2,6198,28
588,114,6,2,6199,29
589,116,1,1,435,15
590,116,1,1,444,20
591,116,1,1,445,21
592,116,1,1,448,25
593,116,1,1,756,3
594,116,1,1,757,4
595,116,1,1,758,5
596,116,1,1,759,6
597,116,1,1,760,7
598,116,1,1,761,8
599,116,1,1,762,9
600,116,1,1,763,10
601,116,1,1,848,1
602,116,1,1,2007,11
603,116,1,1,2008,12
604,116,1,1,2009,13
605,116,1,1,2010,14
606,116,1,1,2011,16
607,116,1,1,2012,17
608,116,1,1,2795,2
609,116,1,1,2837,31
610,116,1,1,2838,32
611,116,1,1,2839,33
612,116,1,1,2840,34
613,116,1,1,2845,35
614,116,1,1,2846,36
615,116,1,1,2847,37
616,116,1,1,2848,39
617,116,1,1,2849,40
618,116,1,1,2850,41
619,116,1,1,2851,42
620,116,1,1,2852,43
621,116,1,1,2954,49
622,116,1,1,2955,50
623,116,1,1,2978,45
624,116,1,1,2979,46
625,116,1,1,2980,47
626,116,1,1,2981,48
627,116,1,1,3182,27
628,116,1,1,3183,28
629,116,1,1,3322,18
630,116,1,1,3563,19
631,116,1,1,4350,29
632,116,1,1,4397,38
633,116,1,1,4457,26
634,116,1,1,4779,22
635,116,1,1,4987,44
636,116,1,1,5142,24
637,116,1,1,5143,30
638,116,1,1,7057,23
639,116,3,2,261,63
641,116,3,2,281,62
643,116,3,2,320,62
644,116,3,2,345,61
645,116,3,2,447,29
646,116,3,2,449,25
647,116,3,2,450,26
648,116,3,2,451,28
649,116,3,2,453,32
650,116,3,2,461,37
651,116,3,2,768,42
652,116,3,2,769,43
653,116,3,2,770,44
654,116,3,2,771,45
655,116,3,2,772,46
656,116,3,2,773,47
657,116,3,2,774,48
658,116,3,2,775,49
659,116,3,2,776,50
660,116,3,2,777,51
661,116,3,2,786,56
662,116,3,2,792,57
663,116,3,2,906,52
664,116,3,2,907,53
665,116,3,2,908,54
666,116,3,2,909,55
667,116,3,2,2068,38
668,116,3,2,2069,39
669,116,3,2,2070,40
670,116,3,2,2084,41
671,116,3,2,2829,19
672,116,3,2,2830,20
673,116,3,2,2831,21
674,116,3,2,2832,22
675,116,3,2,2853,10
676,116,3,2,2854,11
677,116,3,2,2855,12
678,116,3,2,2856,13
679,116,3,2,2857,14
680,116,3,2,2858,15
681,116,3,2,2859,16
682,116,3,2,2860,17
683,116,3,2,2861,18
684,116,3,2,2955,1
685,116,3,2,2956,3
686,116,3,2,2965,4
687,116,3,2,2967,5
688,116,3,2,2968,6
689,116,3,2,2969,7
690,116,3,2,2970,8
691,116,3,2,3181,27
692,116,3,2,3184,24
693,116,3,2,3321,34
694,116,3,2,4349,23
695,116,3,2,4460,31
696,116,3,2,4477,33
697,116,3,2,4529,58
698,116,3,2,4727,35
699,116,3,2,4728,36
700,116,3,2,4988,9
701,116,3,2,5045,30
